kera	NN
untuk	SC
aman	VB
pesta olahraga	NN

perintah	NNP
kota	NNP
delhi	NNP
kerah	VB
monyet	NN
untuk	SC
usir	VB
monyet	NN
lain	JJ
yang	SC
badan	VB
lebih	RB
kecil	JJ
dari	IN
arena	NN
pesta olahraga	NNP
makmur	NNP
.	Z

beberapa	CD
lapor	NN
sebut	VB
tidak	RB
10	CD
monyet	NN
tempat	VB
di	IN
luar	NN
arena	NN
lomba	NN
dan	CC
tanding	NN
di	IN
ibukota	NNP
india	NNP
.	Z

pemkot	NNP
delhi	NNP
milik	VB
28	CD
monyet	NN
dan	CC
rencana	VB
datang	VB
10	CD
monyet	NN
jenis	NN
dari	IN
negara bagi	NNP
rajasthan	NNP
.	Z

jumlah	NN
monyet	NN
di	IN
ibukota	NNP
india	NNP
capai	VB
ribu	CD
,	Z
bagi besar	NN
ada	VB
di	IN
kantor	NN
perintah	NN
dan	CC
hewan	NN
ini	PR
anggap	VB
ganggu	VB
tertib	NN
umum	JJ
.	Z

monyet	NN
ini	PR
ikat	VB
dengan	IN
tali	NN
panjang	JJ
dan	CC
latih	NN
yang	SC
awas	VB
mereka	PRP
akan	MD
lepas	VB
tali	NN
begitu	SC
monyet	NN
kecil	JJ
lain	JJ
dekat	VB
.	Z

kantor	NNP
berita	NNP
afp	NNP
lapor	VB
stadion	NN
tinju	NN
dan	CC
hockey	FW
dapat	VB
perhati	NN
khusus	JJ
karena	SC
sering	RB
serbu	VB
monyet	NN
.	Z

monyet	NN
besar	JJ
akan	MD
kerah	VB
di	IN
dua	CD
stadion	NN
untuk	SC
usir	VB
serbu	NN
monyet	NN
kecil	JJ

"\"""	Z
monyet	NN
besar	JJ
akan	MD
kerah	VB
di	IN
dua	CD
stadion	NN
sebut	PR
untuk	SC
usir	VB
serbu	NN
monyet	NN
kecil	JJ
,	Z
"\"""	Z
kata	VB
devender	NNP
prasad	NNP
,	Z
jabat	NN
perintah	NNP
kota	NNP
delhi	NNP
kepada	IN
kantor berita	NNP
afp	NNP
.	Z

lama	IN
tahun	CD
monyet	NN
ganggu	VB
warga	NN
delhi	NNP
.	Z

binatang	NN
ini	PR
naik	VB
kereta	NN
metro	NN
dan	CC
bahkan	RB
liar	VB
di	IN
kompleks	NN
gedung	NN
parlemen	NN
.	Z

belum	NEG
lama	JJ
ini	PR
kawan	NN
monyet	NN
serbu	VB
kantor	NN
perdana menteri	NN
dan	CC
departemen	NN
tahan	NN
.	Z

binatang	NN
ini	PR
tidak	NEG
bisa	MD
bunuh	VB
karena	SC
masyarakat	NN
india	NNP
anggap	VB
mereka	PRP
suci	JJ
.	Z

selain	CC
harus	MD
usir	VB
kawan	NN
monyet	NN
,	Z
pemkot	NNP
delhi	NNP
juga	RB
sulit	VB
atas	VB
wabah	NN
demam darah	NN
.	Z

curah	NN
hujan	NN
yang	SC
tinggi	JJ
sebab	VB
banyak	CD
genang	NN
,	Z
tempat	NN
ideal	JJ
bagi	IN
nyamuk	NN
aedes	NNP
kembang biak	VB
.	Z

pemkot	NN
telah	MD
tempat	VB
ikan	NN
di	IN
bagai	CD
genang	NN
air	NN
untuk	SC
mangsa	VB
telur	NN
nyamuk	NN
.	Z

miliarder	NN
as	NNP
jamu	VB
orang kaya	NN
cina	NNP

dua	CD
miliarder	NN
amerika	NNP
bill	NNP
gates	NNP
dan	CC
warren	NNP
buffett	NNP
akan	MD
ada	VB
jamu	NN
makan malam	NN
di	IN
beijing	NNP
bagi	IN
jumlah	CD
orang	NN
kaya	JJ
di	IN
cina	NNP
.	Z

gates	NNP
dan	CC
buffett	NNP
kata	VB
mereka	PRP
ada	VB
di	IN
cina	NNP
untuk	SC
ajar	VB
giat	NN
amal	NN
di	IN
negara	NN
itu	PR
.	Z

banyak	CD
orang	NN
duga	VB
mereka	PRP
ingin	RB
bujuk	VB
para	DT
tamu	NN
agar	SC
lebih	RB
banyak	CD
sumbang	VB
untuk	IN
amal	NN
.	Z

ada	VB
rahasia	NN
kena	IN
acara	NN
itu	PR
,	Z
pihak	NN
selenggara	NN
tidak	NEG
beber	VB
nama	NN
tamu	NN
.	Z

salah satu	CD
orang	NN
yang	SC
akan	MD
hadir	VB
jamu	NN
makan malam	NN
itu	PR
adalah	VB
chen	NNP
guangbiao	NNP
,	Z
orang	NND
miliarder	NN
yang	SC
raup	VB
kaya	NN
dari	IN
bisnis	NN
daur ulang	VB
sampah	NN
dari	IN
industri	NN
bangun	NN
.	Z

dia	PRP
kata	VB
kepada	IN
bbc	NNP
bahwa	SC
dia	PRP
sudah	MD
rencana	VB
sumbang	VB
seluruh	CD
harta	NN
-nya	PRP
untuk	IN
amal	NN
bila	SC
dia	PRP
tinggal	VB
.	Z

"\"""	Z
amal	VB
dan	CC
bantu	VB
sudah	MD
jadi	VB
bagi	NN
dari	IN
budaya	NN
cina	NNP
lama	IN
5 000	CD
tahun	NN
.	Z

tetapi	CC
giat	NN
amal	NN
resmi	JJ
baru	MD
kembang	VB
di	IN
cina	NNP
dalam	IN
30	CD
tahun	NN
akhir	JJ
,	Z
sejak	SC
kami	PRP
terap	VB
reformasi ekonomi	NN
.	Z
"\"""	Z

"\"""	Z
banyak	CD
orang	NN
baru	MD
mulai	MD
jadi	VB
kaya	JJ
dan	CC
kami	PRP
baru ini	RB
saja	RB
bisa	MD
beri	VB
makan	NN
diri	NN
sendiri	NN
,	Z
"\"""	Z
kata	VB
-nya	PRP
.	Z

sumbang	VB
uang	NN
untuk	IN
amal	NN
belum	NEG
begitu	RB
kembang	VB
di	IN
cina	NNP
baik	JJ
di	IN
banyak	CD
negara	NN
lain	JJ
.	Z

kalau	SC
jamu	NN
makan malam	NN
ini	PR
bisa	MD
kata	VB
hasil	VB
,	Z
hasil	NN
itu	PR
adalah	VB
dorong	VB
debat	NN
kena	IN
apa	SC
arti	NN
amal	VB
bagi	IN
yang	SC
butuh	VB
.	Z

kisah	NN
diri	NN
facebook	NNP
buat	VB
komik	NN

kisah	NN
diri	NN
facebook	NNP
mark	NNP
zuckerberg	NNP
akan	MD
cerita	VB
dalam	IN
buah	NND
komik	NN
biografi	NN
.	Z

komik	NN
dengan	IN
judul	NN
mark	NNP
zuckerberg	NNP
:	Z
cipta	NN
facebook	NNP
,	Z
akan	MD
sedia	VB
di	IN
pasar	NN
belum	SC
desember	NNP
2010	CD
,	Z
demikian	PR
nyata	NN
terbit	NNP
bluewater	NNP
productions	NNP
.	Z

tulis	NNP
jerome	NNP
maida	NNP
sebut	VB
kisah	NN
zuckerberg	NNP
"\"""	Z
kagum	VB
"\"""	Z
dan	CC
"\"""	Z
luar biasa	JJ
"\"""	Z
.	Z

buah	NND
film	NN
kena	IN
facebook	NNP
dengan	IN
judul	NN
the	NNP
social	NNP
network	NNP
,	Z
juga	RB
akan	MD
rilis	VB
pada	IN
tanggal	NN
15	CD
oktober	NNP
nanti	NN
.	Z

film	NN
yang	SC
tulis	VB
oleh	IN
cipta	NN
serial	NN
west	NNP
wing	NNP
aaron	NNP
sorkin	NNP
dan	CC
sutradara	VB
oleh	IN
david	NNP
fincher	NNP
yang	SC
pernah	MD
garap	VB
film	NN
fight	NNP
'	NNP
s	NNP
club	NNP
ini	PR
benar	RB
belum	NEG
oleh	VB
izin	NN
mark	NNP
zuckerberg	NNP
.	Z

pemuda	NN
usia	VB
26	CD
tahun	NN
ini	PR
kata	VB
"\"""	Z
saya	PRP
harap	VB
tidak	NEG
ada	VB
orang	NN
yang	SC
buat	VB
film	NN
tentang	IN
saya	PRP
ketika	SC
saya	PRP
masih	MD
hidup	VB
,	Z
"\"""	Z
kata	VB
-nya	PRP
dalam	IN
buah	NND
konferensi	NN
teknologi	NN
juni	NNP
silam	NN
.	Z

hingga	IN
juli	NNP
2010	CD
lebih	RB
dari	IN
500	CD
juta	CD
yang	SC
daftar	VB
dalam	IN
situs	NN
jejaring	NN
sosial	JJ
sebut	PR
.	Z

september	NNP
silam	NN
,	Z
